,fecha,region,institucion,primeras_consultas,consultas_seguimiento,total_mes,label_year
705,2018-11-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1362,4585.0,5947,2018
709,2018-12-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",1015,5872.0,6887,2018
710,2018-12-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,2226,19203.0,21429,2018
717,2019-01-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",79,220.0,299,2019
718,2019-01-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,227,1907.0,2134,2019
719,2019-01-01,Região de Saúde LVT,"Hospital de Cascais, PPP",47,314.0,361,2019
720,2019-01-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",103,902.0,1005,2019
727,2019-02-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",129,346.0,475,2019
728,2019-02-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,0.0,0,2019
734,2019-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",852,6842.0,7694,2019
735,2019-03-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",1,0.0,1,2019
740,2019-04-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",441,3401.0,3842,2019
741,2019-04-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",386,899.0,1285,2019
742,2019-04-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",211,676.0,887,2019
743,2019-04-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,878,7229.0,8107,2019
753,2019-05-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",488,1160.0,1648,2019
754,2019-05-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",1,0.0,1,2019
755,2019-05-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",475,2504.0,2979,2019
756,2019-05-01,Região de Saúde LVT,Instituto Gama Pinto,0,178.0,178,2019
762,2019-06-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",305,1011.0,1316,2019
768,2019-07-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",1,0.0,1,2019
769,2019-07-01,Região de Saúde LVT,Instituto Gama Pinto,0,239.0,239,2019
776,2019-08-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1562,13133.0,14695,2019
777,2019-08-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",1,0.0,1,2019
784,2019-09-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",738,4950.0,5688,2019
785,2019-09-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",457,1418.0,1875,2019
786,2019-09-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2477,18007.0,20484,2019
787,2019-09-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",654,3309.0,3963,2019
788,2019-09-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",1,0.0,1,2019
796,2019-10-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2170,8146.0,10316,2019
797,2019-10-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2944,20467.0,23411,2019
798,2019-10-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,2018,16706.0,18724,2019
799,2019-10-01,Região de Saúde LVT,"Hospital de Cascais, PPP",532,2525.0,3057,2019
800,2019-10-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",2,3.0,5,2019
813,2019-11-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",3292,22641.0,25933,2019
814,2019-11-01,Região de Saúde LVT,"Hospital de Loures, PPP",954,6012.0,6966,2019
815,2019-11-01,Região de Saúde LVT,Instituto Gama Pinto,0,364.0,364,2019
816,2019-11-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1355,3919.0,5274,2019
825,2019-12-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",911,4515.0,5426,2019
826,2019-12-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",45,10.0,55,2019
827,2019-12-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",993,5458.0,6451,2019
828,2019-12-01,Região de Saúde LVT,Instituto Gama Pinto,0,396.0,396,2019
836,2020-01-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",218,961.0,1179,2020
843,2020-02-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",110,369.0,479,2020
844,2020-02-01,Região de Saúde LVT,"Hospital de Loures, PPP",143,1183.0,1326,2020
845,2020-02-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",174,801.0,975,2020
851,2020-03-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",142,484.0,626,2020
852,2020-03-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,498,5319.0,5817,2020
853,2020-03-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",230,352.0,582,2020
854,2020-03-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",230,994.0,1224,2020
863,2020-04-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",761,3338.0,4099,2020
864,2020-04-01,Região de Saúde LVT,"Hospital de Loures, PPP",296,2355.0,2651,2020
865,2020-04-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",270,1542.0,1812,2020
871,2020-05-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",278,2515.0,2793,2020
872,2020-05-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",210,1045.0,1255,2020
873,2020-05-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",343,705.0,1048,2020
874,2020-05-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",301,2002.0,2303,2020
875,2020-05-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",409,4403.0,4812,2020
877,2020-06-01,Região de Saúde LVT,"Hospital de Cascais, PPP",145,935.0,1080,2020
878,2020-06-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",498,5259.0,5757,2020
886,2020-07-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",287,940.0,1227,2020
887,2020-07-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2587,14584.0,17171,2020
888,2020-07-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",393,3556.0,3949,2020
889,2020-07-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",439,3580.0,4019,2020
896,2020-08-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",628,4527.0,5155,2020
897,2020-08-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1697,6360.0,8057,2020
898,2020-08-01,Região de Saúde LVT,"Hospital de Cascais, PPP",265,1175.0,1440,2020
899,2020-08-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",704,6878.0,7582,2020
900,2020-08-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",502,3825.0,4327,2020
902,2020-09-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",322,1676.0,1998,2020
903,2020-09-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",348,1142.0,1490,2020
906,2020-10-01,Região de Saúde LVT,"Hospital de Cascais, PPP",378,1585.0,1963,2020
907,2020-10-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",598,1754.0,2352,2020
918,2020-11-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",428,1381.0,1809,2020
919,2020-11-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",639,5336.0,5975,2020
920,2020-11-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",801,5196.0,5997,2020
921,2020-11-01,Região de Saúde LVT,Instituto Gama Pinto,0,306.0,306,2020
931,2020-12-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",419,2270.0,2689,2020
932,2020-12-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",690,5897.0,6587,2020
933,2020-12-01,Região de Saúde LVT,"Hospital de Loures, PPP",827,6942.0,7769,2020
943,2021-01-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",58,488.0,546,2021
944,2021-01-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",81,520.0,601,2021
945,2021-01-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",112,1041.0,1153,2021
954,2021-02-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",129,1308.0,1437,2021
955,2021-02-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",210,1891.0,2101,2021
956,2021-02-01,Região de Saúde LVT,"Hospital de Cascais, PPP",46,411.0,457,2021
957,2021-02-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",77,407.0,484,2021
958,2021-02-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",153,1178.0,1331,2021
964,2021-03-01,Região de Saúde LVT,"Hospital de Loures, PPP",251,2016.0,2267,2021
973,2021-04-01,Região de Saúde LVT,"Hospital de Cascais, PPP",109,915.0,1024,2021
974,2021-04-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",168,819.0,987,2021
984,2021-05-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",355,3320.0,3675,2021
985,2021-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1185,5084.0,6269,2021
986,2021-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1868,12393.0,14261,2021
987,2021-05-01,Região de Saúde LVT,Instituto Gama Pinto,0,160.0,160,2021
994,2021-06-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",255,1207.0,1462,2021
995,2021-06-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",297,960.0,1257,2021
996,2021-06-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",710,2916.0,3626,2021
1001,2021-07-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",873,7050.0,7923,2021
1002,2021-07-01,Região de Saúde LVT,"Hospital de Cascais, PPP",252,1592.0,1844,2021
1003,2021-07-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",278,1456.0,1734,2021
1004,2021-07-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",536,2275.0,2811,2021
1005,2021-07-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",623,4474.0,5097,2021
1006,2021-07-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1045,7661.0,8706,2021
1016,2021-08-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",614,4108.0,4722,2021
1017,2021-08-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1130,8134.0,9264,2021
1025,2021-09-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1116,8755.0,9871,2021
1026,2021-09-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",3100,19530.0,22630,2021
1027,2021-09-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",698,4664.0,5362,2021
1028,2021-09-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",703,2801.0,3504,2021
1029,2021-09-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1264,8988.0,10252,2021
1037,2021-10-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2362,9377.0,11739,2021
1038,2021-10-01,Região de Saúde LVT,"Hospital de Cascais, PPP",339,2216.0,2555,2021
1048,2021-12-01,Região de Saúde LVT,"Hospital de Cascais, PPP",435,2632.0,3067,2021
1049,2021-12-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",531,3141.0,3672,2021
1050,2021-12-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1660,11519.0,13179,2021
1059,2022-01-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",238,874.0,1112,2022
1060,2022-01-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",67,193.0,260,2022
1061,2022-01-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",59,538.0,597,2022
1062,2022-01-01,Região de Saúde LVT,"Hospital de Loures, EPE",78,429.0,507,2022
1069,2022-02-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",250,1117.0,1367,2022
1070,2022-02-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",82,452.0,534,2022
1071,2022-02-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",189,659.0,848,2022
1072,2022-02-01,Região de Saúde LVT,Instituto Gama Pinto,0,59.0,59,2022
1079,2022-03-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",184,670.0,854,2022
1080,2022-03-01,Região de Saúde LVT,"Hospital de Cascais, PPP",166,736.0,902,2022
1081,2022-03-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",121,939.0,1060,2022
1082,2022-03-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",511,1542.0,2053,2022
1090,2022-04-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",555,4271.0,4826,2022
1091,2022-04-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",213,847.0,1060,2022
1092,2022-04-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1585,8515.0,10100,2022
1093,2022-04-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",638,2016.0,2654,2022
1097,2022-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1425,5452.0,6877,2022
1098,2022-05-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",280,1280.0,1560,2022
1099,2022-05-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",274,1076.0,1350,2022
1100,2022-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2056,11068.0,13124,2022
1101,2022-05-01,Região de Saúde LVT,Instituto Gama Pinto,0,145.0,145,2022
1110,2022-06-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",340,1297.0,1637,2022
1111,2022-06-01,Região de Saúde LVT,"Hospital de Loures, EPE",383,2298.0,2681,2022
1119,2022-07-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",375,1733.0,2108,2022
1120,2022-07-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",271,1922.0,2193,2022
1121,2022-07-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",736,3547.0,4283,2022
1122,2022-07-01,Região de Saúde LVT,Instituto Gama Pinto,0,187.0,187,2022
1131,2022-08-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",838,4130.0,4968,2022
1132,2022-08-01,Região de Saúde LVT,"Hospital de Cascais, PPP",382,1749.0,2131,2022
1133,2022-08-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",993,7194.0,8187,2022
1144,2022-09-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1217,9100.0,10317,2022
1145,2022-09-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",707,4435.0,5142,2022
1146,2022-09-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1345,4424.0,5769,2022
1149,2022-10-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2814,10294.0,13108,2022
1150,2022-10-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",518,2360.0,2878,2022
1151,2022-10-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",548,2173.0,2721,2022
1152,2022-10-01,Região de Saúde LVT,"Hospital de Cascais, PPP",459,2254.0,2713,2022
1153,2022-10-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",1046,5064.0,6110,2022
1161,2022-11-01,Região de Saúde LVT,"Hospital de Cascais, PPP",3391,2417.0,5808,2022
1162,2022-11-01,Região de Saúde LVT,"Hospital de Loures, EPE",758,4515.0,5273,2022
1163,2022-11-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",922,4063.0,4985,2022
1164,2022-11-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",1155,5598.0,6753,2022
1165,2022-11-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1420,9783.0,11203,2022
1166,2022-11-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1713,5537.0,7250,2022
1171,2022-12-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",1237,6049.0,7286,2022
1172,2022-12-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",643,2591.0,3234,2022
1173,2022-12-01,Região de Saúde LVT,"Hospital de Loures, EPE",820,4865.0,5685,2022
1174,2022-12-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1531,10404.0,11935,2022
1175,2022-12-01,Região de Saúde LVT,Instituto Gama Pinto,0,299.0,299,2022
1184,2023-01-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",71,288.0,359,2023
1185,2023-01-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,264,1901.0,2165,2023
1186,2023-01-01,Região de Saúde LVT,"Hospital de Cascais, PPP",34,313.0,347,2023
1187,2023-01-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",45,290.0,335,2023
1188,2023-01-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",77,418.0,495,2023
1193,2023-02-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",142,536.0,678,2023
1194,2023-02-01,Região de Saúde LVT,"Hospital de Loures, EPE",128,823.0,951,2023
1195,2023-02-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",97,762.0,859,2023
1196,2023-02-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",356,2072.0,2428,2023
1202,2023-03-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",261,1020.0,1281,2023
1203,2023-03-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",183,1439.0,1622,2023
1204,2023-03-01,Região de Saúde LVT,Instituto Gama Pinto,0,78.0,78,2023
1208,2023-04-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",636,4164.0,4800,2023
1209,2023-04-01,Região de Saúde LVT,"Hospital de Loures, EPE",254,1720.0,1974,2023
1210,2023-04-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",339,1481.0,1820,2023
1211,2023-04-01,Região de Saúde LVT,Instituto Gama Pinto,0,100.0,100,2023
1215,2023-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1681,6147.0,7828,2023
1216,2023-05-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",263,1298.0,1561,2023
1217,2023-05-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1162,9391.0,10553,2023
1218,2023-05-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",278,2470.0,2748,2023
1219,2023-05-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",931,5509.0,6440,2023
1220,2023-05-01,Região de Saúde LVT,Instituto Gama Pinto,0,102.0,102,2023
1221,2023-05-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",817,3112.0,3929,2023
1231,2023-06-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1347,10912.0,12259,2023
1239,2023-07-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2006,7568.0,9574,2023
1240,2023-07-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1520,12454.0,13974,2023
1241,2023-07-01,Região de Saúde LVT,"Hospital de Loures, EPE",491,2890.0,3381,2023
1247,2023-08-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",750,4066.0,4816,2023
1248,2023-08-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2472,8869.0,11341,2023
1249,2023-08-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",629,2209.0,2838,2023
1250,2023-08-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",546,3857.0,4403,2023
1251,2023-08-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",638,2555.0,3193,2023
1252,2023-08-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1228,4481.0,5709,2023
1260,2018-01-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",125,893.0,1018,2018
1261,2018-01-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",104,484.0,588,2018
1264,2018-02-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",275,449.0,724,2018
1273,2018-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",741,2748.0,3489,2018
1274,2018-03-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",293,1523.0,1816,2018
1283,2018-04-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",296,2036.0,2332,2018
1284,2018-04-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",993,3755.0,4748,2018
1285,2018-04-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",358,1730.0,2088,2018
1286,2018-04-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",363,1934.0,2297,2018
1290,2018-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1241,4819.0,6060,2018
1291,2018-05-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",621,1095.0,1716,2018
1292,2018-05-01,Região de Saúde LVT,"Hospital de Loures, PPP",611,2968.0,3579,2018
1299,2018-06-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1473,5785.0,7258,2018
1300,2018-06-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",138,1227.0,1365,2018
1310,2018-07-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",844,1504.0,2348,2018
1311,2018-07-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1970,15011.0,16981,2018
1312,2018-07-01,Região de Saúde LVT,"Hospital de Cascais, PPP",439,2096.0,2535,2018
1313,2018-07-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",154,1390.0,1544,2018
1314,2018-07-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",848,3123.0,3971,2018
1325,2018-08-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1436,12984.0,14420,2018
1326,2018-08-01,Região de Saúde LVT,"Hospital de Cascais, PPP",500,2353.0,2853,2018
1327,2018-08-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",776,6517.0,7293,2018
1333,2018-09-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1955,8031.0,9986,2018
1334,2018-09-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1086,3734.0,4820,2018
1341,2018-10-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1877,16095.0,17972,2018
1354,2018-11-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",945,5428.0,6373,2018
1355,2018-11-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",1211,2247.0,3458,2018
1356,2018-11-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",435,2864.0,3299,2018
1367,2018-12-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1295,9262.0,10557,2018
1368,2018-12-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",484,3046.0,3530,2018
1369,2018-12-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",3160,23860.0,27020,2018
1370,2018-12-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,10.0,10,2018
1371,2018-12-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1464,4942.0,6406,2018
1376,2019-01-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",308,2326.0,2634,2019
1377,2019-01-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",78,473.0,551,2019
1378,2019-01-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",108,482.0,590,2019
1388,2019-02-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",145,848.0,993,2019
1389,2019-02-01,Região de Saúde LVT,Instituto Gama Pinto,0,64.0,64,2019
1396,2019-03-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",277,1938.0,2215,2019
1397,2019-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",663,2713.0,3376,2019
1398,2019-03-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",335,2520.0,2855,2019
1399,2019-03-01,Região de Saúde LVT,"Hospital de Loures, PPP",256,1786.0,2042,2019
1400,2019-03-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",57,742.0,799,2019
1401,2019-03-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",272,1458.0,1730,2019
1406,2019-04-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",342,2440.0,2782,2019
1407,2019-04-01,Região de Saúde LVT,"Hospital de Cascais, PPP",189,1151.0,1340,2019
1408,2019-04-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",445,1995.0,2440,2019
1417,2019-05-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",539,4179.0,4718,2019
1418,2019-05-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",263,859.0,1122,2019
1419,2019-05-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",576,4755.0,5331,2019
1424,2019-06-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",549,1368.0,1917,2019
1425,2019-06-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1715,12959.0,14674,2019
1426,2019-06-01,Região de Saúde LVT,"Hospital de Cascais, PPP",278,1641.0,1919,2019
1427,2019-06-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",122,1334.0,1456,2019
1428,2019-06-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",729,2199.0,2928,2019
1436,2019-07-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",613,1609.0,2222,2019
